recp,date,money,taxid,recp_id,date_num
LZ34434637,105/11/29,32,31642438,31134434637,332
LZ34434638,105/11/29,59,31642438,31134434638,332
LZ34434639,105/11/29,0,31642438,31134434639,332
LZ34434640,105/11/29,50,31642438,31134434640,332
LZ34434641,105/11/29,32,31642438,31134434641,332
LZ34434642,105/11/29,25,31642438,31134434642,332
LZ34434643,105/11/29,30,31642438,31134434643,332
LZ34434644,105/11/29,63,31642438,31134434644,332
LZ34434645,105/11/29,90,31642438,31134434645,332
LZ34434646,105/11/29,50,31642438,31134434646,332
LZ34434647,105/11/29,36,31642438,31134434647,332
LZ34434648,105/11/29,35,31642438,31134434648,332
LZ34434649,105/11/29,105,31642438,31134434649,332
LZ34434650,105/11/29,36,31642438,31134434650,332
LZ34434651,105/11/29,50,31642438,31134434651,332
LZ34434652,105/11/29,32,31642438,31134434652,332
LZ34434653,105/11/29,27,31642438,31134434653,332
LZ34434654,105/11/29,60,31642438,31134434654,332
LZ34434655,105/11/29,32,31642438,31134434655,332
LZ34434656,105/11/29,23,31642438,31134434656,332
LZ34434657,105/11/29,50,31642438,31134434657,332
LZ34434658,105/11/29,32,31642438,31134434658,332
LZ34434659,105/11/29,23,31642438,31134434659,332
LZ34434660,105/11/29,23,31642438,31134434660,332
LZ34434661,105/11/29,23,31642438,31134434661,332
LZ34434662,105/11/29,54,31642438,31134434662,332
LZ34434663,105/11/29,23,31642438,31134434663,332
LZ34434664,105/11/29,27,31642438,31134434664,332
LZ34434665,105/11/29,50,31642438,31134434665,332
LZ34434666,105/11/29,32,31642438,31134434666,332
LZ34434667,105/11/29,41,31642438,31134434667,332
LZ34434668,105/11/29,36,31642438,31134434668,332
LZ34434669,105/11/29,36,31642438,31134434669,332
LZ34434670,105/11/29,45,31642438,31134434670,332
LZ34434671,105/11/29,36,31642438,31134434671,332
LZ34434672,105/11/29,36,31642438,31134434672,332
LZ34434673,105/11/29,108,31642438,31134434673,332
LZ34434674,105/11/29,50,31642438,31134434674,332
LZ34434675,105/11/29,23,31642438,31134434675,332
LZ34434676,105/11/29,40,31642438,31134434676,332
LZ34434677,105/11/29,25,31642438,31134434677,332
LZ34434678,105/11/29,81,31642438,31134434678,332
LZ34434679,105/11/29,41,31642438,31134434679,332
LZ34434680,105/11/29,59,31642438,31134434680,332
LZ34434681,105/11/29,54,31642438,31134434681,332
LZ34434682,105/11/29,104,31642438,31134434682,332
LZ34434683,105/11/29,23,31642438,31134434683,332
LZ34434684,105/11/29,36,31642438,31134434684,332
LZ34434685,105/11/29,59,31642438,31134434685,332
LZ34434686,105/11/29,27,31642438,31134434686,332
LZ34434687,105/11/29,63,31642438,31134434687,332
LZ34434688,105/11/29,32,31642438,31134434688,332
LZ34434689,105/11/29,36,31642438,31134434689,332
LZ34434690,105/11/29,36,31642438,31134434690,332
LZ34434691,105/11/29,36,31642438,31134434691,332
LZ34434692,105/11/29,36,31642438,31134434692,332
LZ34434693,105/11/29,36,31642438,31134434693,332
LZ34434694,105/11/29,36,31642438,31134434694,332
LZ34434695,105/11/29,23,31642438,31134434695,332
LZ34434696,105/11/29,150,31642438,31134434696,332
LZ34434697,105/11/29,117,31642438,31134434697,332
LZ34434698,105/11/29,59,31642438,31134434698,332
LZ34434699,105/11/29,32,31642438,31134434699,332
LZ34434700,105/11/29,45,31642438,31134434700,332
LZ34434701,105/11/29,45,31642438,31134434701,332
LZ34434702,105/11/29,70,31642438,31134434702,332
LZ34434703,105/11/29,32,31642438,31134434703,332
LZ34434704,105/11/29,35,31642438,31134434704,332
LZ34434705,105/11/29,32,31642438,31134434705,332
LZ34434706,105/11/29,32,31642438,31134434706,332
LZ34434707,105/11/29,128,31642438,31134434707,332
LZ34434708,105/11/29,108,31642438,31134434708,332
LZ34434709,105/11/29,41,31642438,31134434709,332
LZ34434710,105/11/29,54,31642438,31134434710,332
LZ34434711,105/11/29,32,31642438,31134434711,332
LZ34434712,105/11/29,50,31642438,31134434712,332
LZ34434713,105/11/29,32,31642438,31134434713,332
LZ34434714,105/11/29,50,31642438,31134434714,332
LZ34434715,105/11/29,59,31642438,31134434715,332
LZ34434716,105/11/29,36,31642438,31134434716,332
LZ34434717,105/11/29,77,31642438,31134434717,332
LZ34434718,105/11/29,32,31642438,31134434718,332
LZ34434719,105/11/29,45,31642438,31134434719,332
LZ34434720,105/11/29,45,31642438,31134434720,332
LZ34434721,105/11/29,32,31642438,31134434721,332
LZ34434722,105/11/29,36,31642438,31134434722,332
LZ34434723,105/11/29,36,31642438,31134434723,332
LZ34434724,105/11/29,36,31642438,31134434724,332
LZ34434725,105/11/29,32,31642438,31134434725,332
LZ34434726,105/11/29,41,31642438,31134434726,332
LZ34434727,105/11/29,35,31642438,31134434727,332
LZ34434728,105/11/29,25,31642438,31134434728,332
LZ34434729,105/11/29,50,31642438,31134434729,332
LZ34434730,105/11/29,55,31642438,31134434730,332
LZ34434731,105/11/29,40,31642438,31134434731,332
LZ34434732,105/11/29,95,31642438,31134434732,332
LZ34434733,105/11/29,70,31642438,31134434733,332
LZ34434734,105/11/29,60,31642438,31134434734,332
LZ34434735,105/11/29,36,31642438,31134434735,332
LZ34434736,105/11/29,45,31642438,31134434736,332
LZ34434737,105/11/29,41,31642438,31134434737,332
LZ34434738,105/11/29,50,31642438,31134434738,332
LZ34434739,105/11/29,41,31642438,31134434739,332
LZ34434740,105/11/29,59,31642438,31134434740,332
LZ34434741,105/11/29,95,31642438,31134434741,332
LZ34434742,105/11/29,113,31642438,31134434742,332
LZ34434743,105/11/29,32,31642438,31134434743,332
LZ34434744,105/11/29,41,31642438,31134434744,332
LZ34434745,105/11/29,72,31642438,31134434745,332
LZ34434746,105/11/29,36,31642438,31134434746,332
LZ34434747,105/11/29,95,31642438,31134434747,332
LZ34434748,105/11/29,63,31642438,31134434748,332
LZ34434749,105/11/29,90,31642438,31134434749,332
LZ34434750,105/11/29,50,31642438,31134434750,332
LZ34434751,105/11/29,99,31642438,31134434751,332
LZ34434752,105/11/29,32,31642438,31134434752,332
LZ34434753,105/11/29,36,31642438,31134434753,332
LZ34434754,105/11/29,55,31642438,31134434754,332
LZ34434755,105/11/29,50,31642438,31134434755,332
LZ34434756,105/11/29,32,31642438,31134434756,332
LZ34434757,105/11/29,63,31642438,31134434757,332
LZ34434758,105/11/29,248,31642438,31134434758,332
LZ34434759,105/11/29,95,31642438,31134434759,332
LZ34434760,105/11/29,50,31642438,31134434760,332
LZ34434761,105/11/29,54,31642438,31134434761,332
LZ34434762,105/11/29,50,31642438,31134434762,332
LZ34434763,105/11/29,50,31642438,31134434763,332
LZ34434764,105/11/29,54,31642438,31134434764,332
LZ34434765,105/11/29,54,31642438,31134434765,332
LZ34434766,105/11/29,45,31642438,31134434766,332
LZ34434767,105/11/29,59,31642438,31134434767,332
LZ34434768,105/11/29,45,31642438,31134434768,332
LZ34434769,105/11/29,23,31642438,31134434769,332
LZ34434770,105/11/29,23,31642438,31134434770,332
LZ34434771,105/11/29,32,31642438,31134434771,332
LZ34434772,105/11/29,59,31642438,31134434772,332
LZ34434773,105/11/29,60,31642438,31134434773,332
LZ34434774,105/11/29,50,31642438,31134434774,332
LZ34434775,105/11/29,54,31642438,31134434775,332
LZ34434776,105/11/29,63,31642438,31134434776,332
LZ34434777,105/11/29,41,31642438,31134434777,332
LZ34434778,105/11/29,59,31642438,31134434778,332
LZ34434779,105/11/29,32,31642438,31134434779,332
LZ34434780,105/11/29,59,31642438,31134434780,332
LZ34434781,105/11/29,41,31642438,31134434781,332
LZ34434782,105/11/29,36,31642438,31134434782,332
LZ34434783,105/11/29,32,31642438,31134434783,332
LZ34434784,105/11/29,45,31642438,31134434784,332
LZ34434785,105/11/29,23,31642438,31134434785,332
LZ34434786,105/11/29,36,31642438,31134434786,332
LZ34434787,105/11/29,36,31642438,31134434787,332
LZ34434788,105/11/29,50,31642438,31134434788,332
LZ34434789,105/11/29,45,31642438,31134434789,332
LZ34434790,105/11/29,45,31642438,31134434790,332
LZ34434791,105/11/29,54,31642438,31134434791,332
LZ34434792,105/11/29,41,31642438,31134434792,332
LZ34434793,105/11/29,41,31642438,31134434793,332
LZ34434794,105/11/29,50,31642438,31134434794,332
LZ34434795,105/11/29,41,31642438,31134434795,332
LZ34434796,105/11/29,110,31642438,31134434796,332
LZ34434797,105/11/29,50,31642438,31134434797,332
LZ34434798,105/11/29,81,31642438,31134434798,332
LZ34434799,105/11/29,45,31642438,31134434799,332
LZ34434800,105/11/29,41,31642438,31134434800,332
LZ34434801,105/11/29,41,31642438,31134434801,332
LZ34434802,105/11/29,23,31642438,31134434802,332
LZ34434803,105/11/29,45,31642438,31134434803,332
LZ34434804,105/11/29,50,31642438,31134434804,332
LZ34434805,105/11/29,50,31642438,31134434805,332
LZ34434806,105/11/29,59,31642438,31134434806,332
LZ34434807,105/11/29,54,31642438,31134434807,332
LZ34434808,105/11/29,36,31642438,31134434808,332
LZ34434809,105/11/29,80,31642438,31134434809,332
LZ34434810,105/11/29,55,31642438,31134434810,332
LZ34434811,105/11/29,54,31642438,31134434811,332
LZ34434812,105/11/29,54,31642438,31134434812,332
LZ34434813,105/11/29,36,31642438,31134434813,332
LZ34434814,105/11/29,50,31642438,31134434814,332
LZ34434815,105/11/29,32,31642438,31134434815,332
LZ34434816,105/11/29,32,31642438,31134434816,332
LZ34434817,105/11/29,41,31642438,31134434817,332
LZ34434818,105/11/29,35,31642438,31134434818,332
LZ34434819,105/11/29,32,31642438,31134434819,332
LZ34434820,105/11/29,32,31642438,31134434820,332
LZ34434821,105/11/29,63,31642438,31134434821,332
LZ34434822,105/11/29,72,31642438,31134434822,332
LZ34434823,105/11/29,60,31642438,31134434823,332
LZ34434824,105/11/29,59,31642438,31134434824,332
LZ34434825,105/11/29,59,31642438,31134434825,332
LZ34434826,105/11/29,105,31642438,31134434826,332
LZ34434827,105/11/29,55,31642438,31134434827,332
LZ34434828,105/11/29,50,31642438,31134434828,332
LZ34434829,105/11/29,95,31642438,31134434829,332
LZ34434830,105/11/29,108,31642438,31134434830,332
LZ34434831,105/11/29,75,31642438,31134434831,332
LZ34434832,105/11/29,32,31642438,31134434832,332
LZ34434833,105/11/29,36,31642438,31134434833,332
LZ34434834,105/11/29,54,31642438,31134434834,332
LZ34434835,105/11/29,36,31642438,31134434835,332
LZ34434836,105/11/29,50,31642438,31134434836,332
LZ34434837,105/11/29,45,31642438,31134434837,332
LZ34434838,105/11/29,60,31642438,31134434838,332
LZ34434839,105/11/29,50,31642438,31134434839,332
LZ34434840,105/11/29,27,31642438,31134434840,332
LZ34434841,105/11/29,32,31642438,31134434841,332
LZ34434842,105/11/29,54,31642438,31134434842,332
LZ34434843,105/11/29,32,31642438,31134434843,332
LZ34434844,105/11/29,122,31642438,31134434844,332
LZ34434845,105/11/29,50,31642438,31134434845,332
LZ34434846,105/11/29,50,31642438,31134434846,332
LZ34434847,105/11/29,45,31642438,31134434847,332
LZ34434848,105/11/29,35,31642438,31134434848,332
LZ34434849,105/11/29,36,31642438,31134434849,332
LZ34434850,105/11/29,45,31642438,31134434850,332
LZ34434851,105/11/29,35,31642438,31134434851,332
LZ34434852,105/11/29,54,31642438,31134434852,332
LZ34434853,105/11/29,36,31642438,31134434853,332
LZ34434854,105/11/29,36,31642438,31134434854,332
LZ34434855,105/11/29,59,31642438,31134434855,332
LZ34434856,105/11/29,36,31642438,31134434856,332
LZ34434857,105/11/29,50,31642438,31134434857,332
LZ34434858,105/11/29,30,31642438,31134434858,332
LZ34434859,105/11/29,27,31642438,31134434859,332
LZ34434860,105/11/29,50,31642438,31134434860,332
LZ34434861,105/11/29,25,31642438,31134434861,332
LZ34434862,105/11/29,36,31642438,31134434862,332
LZ34434863,105/11/29,41,31642438,31134434863,332
LZ34434864,105/11/29,45,31642438,31134434864,332
LZ34434865,105/11/29,36,31642438,31134434865,332
LZ34434866,105/11/29,54,31642438,31134434866,332
LZ34434867,105/11/29,50,31642438,31134434867,332
LZ34434868,105/11/29,41,31642438,31134434868,332
LZ34434869,105/11/29,36,31642438,31134434869,332
LZ34434870,105/11/29,36,31642438,31134434870,332
LZ34434871,105/11/29,36,31642438,31134434871,332
LZ34434872,105/11/29,50,31642438,31134434872,332
LZ34434873,105/11/29,41,31642438,31134434873,332
LZ34434874,105/11/29,105,31642438,31134434874,332
LZ34434875,105/11/29,59,31642438,31134434875,332
LZ34434876,105/11/29,36,31642438,31134434876,332
LZ34434877,105/11/29,54,31642438,31134434877,332
LZ34434878,105/11/29,59,31642438,31134434878,332
LZ34434879,105/11/29,50,31642438,31134434879,332
LZ34434880,105/11/29,0,31642438,31134434880,332
LZ34434881,105/11/29,45,31642438,31134434881,332
LZ34434882,105/11/29,40,31642438,31134434882,332
LZ34434883,105/11/29,23,31642438,31134434883,332
LZ34434884,105/11/29,41,31642438,31134434884,332
LZ34434885,105/11/29,23,31642438,31134434885,332
LZ34434886,105/11/29,41,31642438,31134434886,332
LZ34434887,105/11/29,50,31642438,31134434887,332
LZ34434888,105/11/29,23,31642438,31134434888,332
LZ34434889,105/11/29,23,31642438,31134434889,332
LZ34434890,105/11/29,113,31642438,31134434890,332
LZ34434891,105/11/29,36,31642438,31134434891,332
LZ34434892,105/11/29,95,31642438,31134434892,332
LZ34434893,105/11/29,45,31642438,31134434893,332
LZ34434894,105/11/29,35,31642438,31134434894,332
LZ34434895,105/11/29,41,31642438,31134434895,332
LZ34434896,105/11/29,45,31642438,31134434896,332
LZ34434897,105/11/29,23,31642438,31134434897,332
LZ34434898,105/11/29,36,31642438,31134434898,332
LZ34434899,105/11/29,108,31642438,31134434899,332
